"group","year","median","CI_low","CI_high"
"fawn",1992,0.30051725888131,0.256588683581235,0.357195394968371
"fawn",1993,0.497502260895553,0.428941169864503,0.555833341465581
"fawn",1994,0.362536123260199,0.319933325493031,0.406992553140705
"fawn",1995,0.427993180198864,0.35365462031883,0.498155501095539
"fawn",1996,0.40798030378029,0.342982901117396,0.475989240126249
"fawn",1997,0.461525170124418,0.37497031629215,0.553360505567361
"fawn",1998,0.465587618263605,0.38640680934735,0.539099768538929
"fawn",1999,0.479237269824002,0.406653783245526,0.560887292082457
"fawn",2000,0.468133385734559,0.37650437225913,0.554844492371987
"fawn",2001,0.499224802162925,0.424929304324009,0.57238285999256
"fawn",2002,0.527190918396306,0.457682895290463,0.594775045110668
"fawn",2003,0.408660687039793,0.323432974145843,0.480766340506493
"fawn",2004,0.499027483917794,0.427459779598198,0.56412242027843
"fawn",2005,0.523619965641637,0.443960516339133,0.600804872042083
"fawn",2006,0.514659968587973,0.420663421469097,0.609897194566052
"fawn",2007,0.576215894486768,0.470421704532501,0.672299939478987
"fawn",2008,0.443946681489128,0.29337470776939,0.601977870842444
"female",1992,0.539881754978891,0.486669338691535,0.584587101162354
"female",1993,0.407152047907015,0.364118190450517,0.449402997608188
"female",1994,0.451162377425878,0.416105078046225,0.489540642804932
"female",1995,0.398253378261534,0.345346670542768,0.451668399725569
"female",1996,0.404231143932385,0.344415139125764,0.466164325947117
"female",1997,0.390946954724035,0.3202867156013,0.462846076747635
"female",1998,0.372842474745513,0.309809961590027,0.43624558453099
"female",1999,0.414745190935089,0.344062830166226,0.48183091909391
"female",2000,0.413969119593561,0.347008729011998,0.48423684825025
"female",2001,0.367478459710734,0.314420393641463,0.424576479446301
"female",2002,0.332986134029583,0.284053376235693,0.38548338403913
"female",2003,0.429579370062105,0.372592680279251,0.489719460939781
"female",2004,0.350708072597511,0.303952645826052,0.406257681258534
"female",2005,0.315448281326113,0.263103086222738,0.374658635708385
"female",2006,0.296104144471986,0.229253529120338,0.366845769823765
"female",2007,0.208477894288981,0.138103446350947,0.279241432546535
"female",2008,0.26552513259591,0.152645270785367,0.399896817996531
"male",1992,0.15460284535265,0.109554213133334,0.225425489022868
"male",1993,0.0926193144100847,0.056546013636493,0.16183196052728
"male",1994,0.184925141208613,0.150152637249134,0.226395260240227
"male",1995,0.17206473808165,0.12343649396703,0.240694209442893
"male",1996,0.184840467974123,0.127542890867168,0.249721103606265
"male",1997,0.143733499125044,0.0768351937053841,0.229098424662296
"male",1998,0.160481365349076,0.108437561445555,0.23177700807814
"male",1999,0.103603051113927,0.0557823715121354,0.174356489370652
"male",2000,0.114429421021029,0.0577494150711522,0.195845618663868
"male",2001,0.131500873102159,0.0832543050847195,0.198392980215395
"male",2002,0.138765376835562,0.0946728256871741,0.199185150980977
"male",2003,0.160553886643199,0.102243514226111,0.241736536914673
"male",2004,0.148738651601466,0.0985140179046132,0.211311566335738
"male",2005,0.158738636072538,0.100689286741106,0.234293897125805
"male",2006,0.185632855786448,0.107436749887261,0.28641940590013
"male",2007,0.213547155879253,0.134175248241683,0.320820885521078
"male",2008,0.280654686676887,0.149780858710907,0.460005808800684
