"group","Year","pop_median","pop_CI_low","pop_CI_high"
"overall",1993,-100.334216749301,-183.118196360792,-18.2940551746693
"overall",1994,76.9356910239476,20.1828699827336,134.648408689064
"overall",1995,-456.080039488047,-519.319164564224,-389.280154561671
"overall",1996,-115.703959254328,-156.949123412953,-75.5795820749151
"overall",1997,-80.8126411655345,-118.301003943478,-45.2630365760004
"overall",1998,8.8506829708971,-20.0972689967141,37.4607639162953
"overall",1999,-7.25216982874147,-36.3706635708542,27.2385324667474
"overall",2000,8.94848950196182,-23.3910057084807,42.4624536078568
"overall",2001,75.2914001632595,38.8491746319692,113.224878912763
"overall",2002,31.8507731907561,-8.78689973176991,70.8960830450648
"overall",2003,-65.7975695324364,-103.949378826355,-27.0751472101403
"overall",2004,29.6064896700001,-5.9231328162814,66.9150313512065
"overall",2005,-47.9973806007682,-86.2415957210167,-8.29335285783024
"overall",2006,-56.8419999326024,-92.4633735303573,-21.481887747177
"overall",2007,-6.0353836686554,-41.0690414947283,33.237329133302
"overall",2008,-74.2348126860785,-101.64487734748,-40.8034438022032
