"group","Year","pop_median","pop_CI_low","pop_CI_high"
"male",1993,-66.8872491599556,-100.087628220197,-24.1231933411848
"male",1994,87.3105786209271,31.0645441821137,137.443381909809
"male",1995,-89.0002827714272,-125.464455966433,-50.4786344846884
"male",1996,-17.1042493972265,-43.5873863989131,12.6158410355447
"male",1997,-24.8783613598327,-42.0292873852828,-4.17523278968635
"male",1998,4.71390156587414,-9.6555288288816,21.437503584104
"male",1999,-14.0268065385415,-28.1930107203907,2.02224664553306
"male",2000,2.97928191031921,-9.75073707806366,22.6341629175845
"male",2001,13.290422459789,-5.00768787834386,36.3765354667972
"male",2002,5.74086958535797,-14.2130430527486,31.0463434703483
"male",2003,-3.03088265770342,-26.6731515318757,21.979185345789
"male",2004,1.1668782949846,-21.3295860967408,24.004496228908
"male",2005,-5.38727427073009,-24.3902250756842,19.4568989074797
"male",2006,-3.98010370180707,-21.8864695979798,21.1712637845637
"male",2007,3.95822592604908,-14.257243658098,28.822641018333
"male",2008,-8.16266725516321,-25.8410373173733,13.0710484852377
