"group","Year","pop_median","pop_CI_low","pop_CI_high"
"female",1993,-159.36122999556,-201.63345678475,-115.025468414514
"female",1994,69.4400481877421,36.5509334889919,104.512234879119
"female",1995,-227.772332144838,-265.584875039163,-191.868829503844
"female",1996,-43.3670927043149,-68.6329295509597,-19.4870587544904
"female",1997,-35.95116685548,-54.3377175127427,-17.8231795975163
"female",1998,-1.06794287046737,-16.8434194150844,15.011559332039
"female",1999,6.3329586485826,-10.4878118320103,23.84647064175
"female",2000,3.63947123851229,-10.8318299584536,20.1422987112807
"female",2001,16.8272359321875,-0.151597844654438,35.2278035238653
"female",2002,-0.369528350716053,-17.8169761808716,18.3132575377726
"female",2003,4.7667128354133,-14.144185929978,23.3915408655665
"female",2004,-11.4367076782942,-25.8584844051379,4.36582245680004
"female",2005,-25.7840892674817,-41.9980508021425,-9.79445815252322
"female",2006,-22.4553918170602,-35.9485162952423,-7.02119207323821
"female",2007,-19.666596650855,-30.5841011305024,-7.40413068609407
"female",2008,-8.55000457339395,-23.3537924375653,12.0481820600573
